Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
21.95,0,0.1992534239088135922813373958,0.199253423908814,0.198664091881519,0.199253423908814,0.198664091881519,0,0.0000000,0.0000000,0,5.4151897913789305645177606432,76.833160314888074122971032293,81.46809600786412941635001901,2162568000
21.96,0,0.1992508221408956917570957279,0.199250822140896,0.198662009005046,0.199250822140896,0.198662009005046,0,0.0000000,0.0000000,0,5.4141810135313826062539510179,76.821539247712025425015943271,81.46127019064279653231520386,2163553000
21.97,0,0.1992482339842787925389218543,0.199248233984279,0.19865993905404,0.199248233984279,0.19865993905404,0,0.0000000,0.0000000,0,5.413173760858825775699338423,76.809944354690158391272977338,81.45445996459249595403230677,2164539000
21.98,0,0.1992456381780260198676365521,0.199245638178026,0.198657860768774,0.199245638178026,0.198657860768774,0,0.0000000,0.0000000,0,5.4121664595464757509022993574,76.798346708700024616506439499,81.4476486812235166915458487,2165524000
21.99,0,0.1992430453527121711628510119,0.199243045352712,0.198655784781028,0.199243045352712,0.198655784781028,0,0.0000000,0.0000000,0,5.4111592522196809140833015161,76.786771179561850538569760599,81.44085167851775598182048971,2166509000
22.00,0,0.1992404661389115338041548454,0.199240466138912,0.19865372172258,0.199240466138912,0.19865372172258,0,0.0000000,0.0000000,0,5.4101533929050355912046757954,76.775193677083722519093243506,81.43405289043487724445034978,2167494000
22.01,0,0.1992378802796897242878327848,0.19923788027969,0.198651651337698,0.19923788027969,0.198651651337698,0,0.0000000,0.0000000,0,5.4091474799107824884438670904,76.76360008630595786859743635,81.42724474074324707259754497,2168479000
22.02,0,0.1992353080321216261176000977,0.199235308032122,0.198649593884654,0.199235308032122,0.198649593884654,0,0.0000000,0.0000000,0,5.4081419837299616078062290978,76.752045892401370035056896924,81.42046131728251157554231543,2169465000
22.03,0,0.1992327627242282942658322217,0.199232762724228,0.198647562692664,0.199232762724228,0.198647562692664,0,0.0000000,0.0000000,0,5.4071376026969070075552523163,76.740474933517541163555680278,81.41366709106972748309055813,2170450000
22.04,0,0.1992301964391694339885774796,0.199230196439169,0.198645509846082,0.199230196439169,0.198645509846082,0,0.0000000,0.0000000,0,5.4061340351460316615672220373,76.72891987290172555563462805,81.40688262228411616828682702,2171435000
22.05,0,0.1992276341394726989733080341,0.199227634139473,0.198643460308625,0.199227634139473,0.198643460308625,0,0.0000000,0.0000000,0,5.4051305072005296281056287613,76.717351174327051877905149589,81.40009021195123847029716829,2172420000
22.06,0,0.1992250631866975791694200461,0.199225063186698,0.198641401443042,0.199225063186698,0.198641401443042,0,0.0000000,0.0000000,0,5.4041276893880652331328033824,76.705835874558822603708983285,81.39333094513940325825957014,2173406000
22.07,0,0.1992225058459239707116214316,0.199222505845924,0.198639355515596,0.199222505845924,0.198639355515596,0,0.0000000,0.0000000,0,5.4031248800426225349122363973,76.694270361072435222626529364,81.3865410168163365546383735,2174391000
22.08,0,0.1992199524907200875158081139,0.19921995249072,0.198637312901039,0.19921995249072,0.198637312901039,0,0.0000000,0.0000000,0,5.4021228774981845073202130999,76.68271410123372211067710752,81.37975669414019400158450754,2175376000
22.09,0,0.1992174011131484169509874444,0.199217401113148,0.198635271592613,0.199217401113148,0.198635271592613,0,0.0000000,0.0000000,0,5.401121535596985208620223989,76.6711755437644062339761888,81.37298334713938562566880868,2176361000
22.10,0,0.1992148430907802742285408807,0.19921484309078,0.198633222969068,0.19921484309078,0.198633222969068,0,0.0000000,0.0000000,0,5.4001209693840203168606455608,76.659676167690995465276028288,81.36623421567944260170008058,2177347000
22.11,0,0.1992122986806884528922052701,0.199212298680688,0.198631187288649,0.199212298680688,0.198631187288649,0,0.0000000,0.0000000,0,5.3991210049558698340468315097,76.648154646695502478634994659,81.35947132990022868722823267,2178332000
22.12,0,0.1992097572524375354423262629,0.199209757252438,0.198629153922095,0.199209757252438,0.198629153922095,0,0.0000000,0.0000000,0,5.398121096102407818442272334,76.636622832337676331322584214,81.35270252714000668763020633,2179317000
22.13,0,0.1992072543990572930660303713,0.199207254399057,0.198627158463605,0.199207254399057,0.198627158463605,0,0.0000000,0.0000000,0,5.3971219579465785960092989275,76.625110361605689180068052151,81.34594559365796756986016176,2180302000
22.14,0,0.1992046833417300724420675347,0.19920468334173,0.198625094135528,0.19920468334173,0.198625094135528,0,0.0000000,0.0000000,0,5.3961229165585635208393105871,76.613616588001018565514808501,81.33920070887907719625206556,2181287000
22.15,0,0.1992021518634123181471517690,0.199202151863412,0.198623068721985,0.199202151863412,0.198623068721985,0,0.0000000,0.0000000,0,5.395125097973845299109752211,76.602112067184796367205081025,81.33244858444426112289052257,2182273000
22.16,0,0.1991996579561653376303335846,0.199199657956165,0.1986210802162,0.199199657956165,0.1986210802162,0,0.0000000,0.0000000,0,5.3941274728061039328259774917,76.590608875053635575041650974,81.32569761886541331074453234,2183258000
22.17,0,0.1991971430726427186480069547,0.199197143072643,0.198619070071986,0.199197143072643,0.198619070071986,0,0.0000000,0.0000000,0,5.3931302947582621281654313292,76.579145064945330575170203164,81.318971224227441557313653,2184243000
22.18,0,0.1991946195368596148770617822,0.19919461953686,0.198617050614514,0.19919461953686,0.198617050614514,0,0.0000000,0.0000000,0,5.3921339790826198871334674164,76.567656561294506750624352524,81.312229220196217538705741,2185228000
22.19,0,0.1991920999873930363681019064,0.199192099987393,0.198615034483516,0.199192099987393,0.198615034483516,0,0.0000000,0.0000000,0,5.3911377518056399159075306519,76.556166948385164176470449369,81.30548693360177545907694516,2186214000
22.20,0,0.1991895824163036704901346789,0.199189582416304,0.198613019672205,0.199189582416304,0.198613019672205,0,0.0000000,0.0000000,0,5.3901421389192222164929747291,76.544685143277161866939760944,81.29874943431687851590812414,2187199000
22.21,0,0.1991870688316644198341311687,0.199187068831664,0.198611008189803,0.199187068831664,0.198611008189803,0,0.0000000,0.0000000,0,5.3891471387302151711102673479,76.533244300824182031753321141,81.29203730952776655530165487,2188184000
22.22,0,0.1991845582295382931446274206,0.199184558229538,0.198608999033521,0.199184558229538,0.198608999033521,0,0.0000000,0.0000000,0,5.3881523942617074296787165997,76.52176409898861100784360432,81.28530097664811059007899827,2189169000
22.23,0,0.1991820612404957878412346255,0.199182061240496,0.198607002835071,0.199182061240496,0.198607002835071,0,0.0000000,0.0000000,0,5.387158159138553050461812986,76.510295961245297219027490043,81.27857214626614673248947636,2190154000
22.24,0,0.1991795555995918977492232878,0.199179555599592,0.198604997330653,0.199179555599592,0.198604997330653,0,0.0000000,0.0000000,0,5.3861646040427563594218873984,76.49883478790038658931343039,81.27184749234447301148486128,2191140000
22.25,0,0.1991770645759065202987868582,0.199177064575907,0.198603005790484,0.199177064575907,0.198603005790484,0,0.000000,0.000000,0,5.3851718549227643866933619339,76.487419503617141549905162774,81.26515106753607024578019137,2192125000
22.26,0,0.1991745659044945693952390001,0.199174565904495,0.198601005950758,0.199174565904495,0.198601005950758,0,0.0000000,0.0000000,0,5.3841789824775198384536814923,76.475958411984203844014395419,81.25842674489828728681697402,2193110000
22.27,0,0.1991721164393911809448638691,0.199172116439391,0.198599054666642,0.199172116439391,0.198599054666642,0,0.0000000,0.0000000,0,5.383186812638222716708199765,76.464514340471791813167072102,81.25171280145672877676983311,2194095000
22.28,0,0.1991695881407682067871890228,0.199169588140768,0.198597023899442,0.199169588140768,0.198597023899442,0,0.0000000,0.0000000,0,5.3821953161208086995052932508,76.453077272210992622464909609,81.24500303489506763805772357,2195081000
22.29,0,0.1991671446415464562297918368,0.199167144641546,0.198595077283207,0.199167144641546,0.198595077283207,0,0.0000000,0.0000000,0,5.3812044912571861690654296462,76.441686996455611503716612813,81.23832214301156048348226466,2196066000
22.30,0,0.1991646579018972811121998685,0.199164657901897,0.198593086779237,0.199164657901897,0.198593086779237,0,0.0000000,0.0000000,0,5.3802137639526751273939626448,76.430252528244190256694045295,81.23161413910182612116079173,2197051000
22.31,0,0.1991621847758552073006756945,0.199162184775855,0.198591109242689,0.199162184775855,0.198591109242689,0,0.0000000,0.0000000,0,5.3792236049485769285822915445,76.418829317502838195776204118,81.22491302529829907260411896,2198036000
22.32,0,0.1991597040024772700760616709,0.199159704002477,0.198589123413743,0.199159704002477,0.198589123413743,0,0.0000000,0.0000000,0,5.3782335401329242788078612421,76.407408396730734216937565869,81.2182136508582587866545454,2199022000
22.33,0,0.1991572368428355341575154418,0.199157236842836,0.198587150554592,0.199157236842836,0.198587150554592,0,0.0000000,0.0000000,0,5.377244567811821504033002633,76.396034096701941887448794424,81.21154263449873317329998031,2200007000
22.34,0,0.1991547726664905222054689748,0.199154772666491,0.198585180035912,0.199154772666491,0.198585180035912,0,0.0000000,0.0000000,0,5.376255931212466986478183412,76.384623044714368946057546819,81.20484889063393299838016705,2200992000
