Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
20.77,4,0.2026381204422835644427369591,0.228326646192669,0.22787331272748,0.203628972021251,0.203174531561943,0.346114015412642,0.3611665378229873968848498028,0.2410376141681093968848498028,0.120128923654878,5.1733284241240485492567338811,71.721443221780392491211562832,71.72144203171560482095336402,1751348000
20.78,4,0.2026350621103596455181893598,0.228318451732154,0.227865539370521,0.203625898734821,0.203171880407361,0.346040857086304,0.3610930154646852631617856087,0.2409757751051642631617856087,0.120117240359521,5.1722752940784630239069347806,71.714807009913826441546557395,71.714805818291285529285171503,1752191000
20.79,4,0.2026320513216085476690941611,0.228310306771916,0.227857814926649,0.203622873224039,0.203169276439804,0.345967721796003,0.3610195194983094414545051320,0.2409139577043354414545051320,0.120105561793974,5.1712225420717672538721302762,71.708166480514376946783913793,71.708165287335457639213602983,1753034000
20.80,4,0.2026290209240702787445465618,0.22830214705248,0.227850075137483,0.203619828008587,0.203166652180048,0.345894657958349,0.3609460937400919320410293961,0.2408522058845639320410293961,0.120093887855528,5.1701707957252805898950968816,71.701535204423435965468692796,71.701534009692729073768129294,1753877000
20.81,4,0.2026260180698620308954513631,0.22829401886053,0.227842366290796,0.203616810471145,0.203164055011867,0.345821648245132,0.3608727241329059178753124929,0.2407905056914369178753124929,0.120082218441469,5.1691198536854634671058163138,71.694924488987130882023188761,71.69492329271168802473430645,1754721000
20.82,4,0.2026229846070228819709037637,0.228285865215624,0.22783463140723,0.203613762175404,0.203161426500039,0.345748715516782,0.3607994295068140154946096724,0.2407288760577290154946096724,0.120070553449085,5.1680699856731365883331106878,71.688299919816636072657317983,71.688298721995937688171418935,1755564000
20.83,4,0.2026199896876711941218085650,0.228277754458307,0.227826938828417,0.203610752611618,0.203158836135907,0.345675840904974,0.3607261958067257636289996176,0.2406673030310617636289996176,0.120058892775664,5.1670209903639576845348705191,71.681677220289279240626729452,71.68167602092628235764101836,1756407000
20.84,4,0.2026169641598447051972609657,0.228269617542845,0.227819219509705,0.203607712289689,0.203156214430456,0.345603033190986,0.3606530269762164224297420704,0.2406057906577234224297420704,0.120047236318493,5.1659729242454801627120091209,71.67508687680553362811077738,71.675085675910031078815245538,1757250000
20.85,4,0.2026139871756614673481657670,0.228261531091497,0.227811550074429,0.203604720748771,0.203153640923921,0.345530247883628,0.3605798839774482940883580296,0.2405443000025892940883580296,0.120035583974859,5.1649252281419247256933486106,71.668469625289446751088798399,71.66846842285792908774775028,1758094000
20.86,4,0.2026109685831575884236181677,0.228253410223292,0.227803845642699,0.203601687396077,0.203151025024597,0.345457569829166,0.3605068455290845351497220129,0.2404829098870315351497220129,0.120023935642053,5.1638790296149818086088707029,71.661863425829869114377836746,71.661862221867477441162954296,1758937000
20.87,4,0.2026079895344525205745229690,0.228245330784381,0.227796182061736,0.203598693780542,0.203148448282493,0.34538491462616,0.3604338327261172303200607205,0.2404215415087572303200607205,0.12001229121736,5.1628331984337521142873975141,71.65525732168253889770947209,71.655256116191802721876231257,1759780000
20.88,4,0.2026049898775822416499753697,0.228237234904421,0.227788501462273,0.203595679456072,0.203145850252593,0.345312321220316,0.3603608803826264068199361963,0.2403602297845574068199361963,0.120000650598069,5.1617882332731833736868195581,71.648671237982987257526900466,71.648670030971000823270296555,1760623000
20.89,4,0.2026020177646629738008801710,0.22822917502366,0.227780856285624,0.203592692810237,0.203143279323535,0.345239845877831,0.3602880482858687353173344541,0.2402990346044007353173344541,0.119989013681468,5.1607449905226289938080501513,71.642086712194403072190007669,71.642085503664330788433351991,1761466000
20.90,4,0.2025990250437317048763325716,0.228221095766953,0.227773191157714,0.203589685455621,0.203140687108976,0.345167390359177,0.3602152345729229274422328975,0.2402378542080799274422328975,0.119977380364843,5.159702011103261029565957008,71.635492215620899462056108192,71.635491005573043188943457396,1762310000
20.91,4,0.2025960262908852259517849723,0.228213010905992,0.227765519851294,0.203586672039596,0.203138088257351,0.345094941629959,0.3601424272018833598275076415,0.2401766766563993598275076415,0.119965750545484,5.1586591225274572119184306438,71.628913962505021368336127094,71.628912750945481360242046084,1763153000
