Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,127,0,0,117,140.0737,3.703636,0,0,0,0,0,0,85,85,0,0
0.010,S,0.010,0.010,0,0.8783742,0,1048.059,127,0,0,116.9869,140.0737,3.705735,233.479044536579,232.329412836882,23.1410494270123,5.18236647627175,2.323294,0.2314105,85,85,0.01161647,0.001157052
0.02,S,0.02,0.010,0,0.8783742,0,1067.286,126.955,0.005013912,0,116.9738,140.0737,3.707835,238.444416584159,237.276239511859,23.5738406559218,6.76400886241771,4.696056,0.4671489,85,85,0.04671322,0.00464985
0.03,S,0.03,0.010,0,0.8783743,0,1085.924,126.9091,0.008541388,0,116.9608,140.0737,3.709934,243.265977650379,242.079778688009,23.9940957854105,8.76026211421089,7.116854,0.7070898,85,85,0.1057778,0.01052104
0.04,S,0.04,0.010,0,0.8783748,0,1103.972,126.8624,0.01432695,0,116.9477,140.0737,3.712033,247.94286919722,246.739176976351,24.4017403228272,10.9773777905382,9.584246,0.9511072,85,85,0.1892833,0.01881203
0.05,S,0.05,0.010,0,0.8783752,0,1121.432,126.8148,0.02249655,0,116.9346,140.0737,3.714133,252.475135525462,251.254480250053,24.7967782761412,13.330160103403,12.09679,1.199075,85,85,0.2976885,0.02956294
0.05999999,S,0.05999999,0.01157725,0,0.8553655,0,1138.304,126.7665,0.03230425,0,116.9215,140.0737,3.716232,256.862993646894,255.625906286111,25.1792283568941,15.7783466377623,14.65305,1.450867,85,85,0.4314377,0.04281265
0.06999999,S,0.06999999,0.0137035,0,0.8300794,0,1154.589,126.7175,0.0439216,0,116.9085,140.0737,3.718331,261.106409959335,259.853422935027,25.5490882577519,18.3007425808235,17.25159,1.706358,85,85,0.5909609,0.05859877
0.07999999,S,0.07999999,0.01589422,0,0.8088446,0,1170.288,126.6677,0.05757528,0,116.8954,140.0737,3.72043,265.205526266434,263.937172749165,25.9063699393381,20.8849615640391,19.89096,1.965422,85,85,0.7766736,0.07695767
0.08999999,S,0.08999999,0.01813862,0,0.7906823,0,1185.402,126.6172,0.07329942,0,116.8823,140.0737,3.722529,269.160386475839,267.877200541018,26.25107765655,23.5230836491879,22.56973,2.227933,85,85,0.9889771,0.09792445
0.09999999,S,0.09999999,0.02042985,0,0.7749027,0,1199.932,126.5661,0.09113055,0,116.8692,140.0737,3.724629,272.971027603616,271.673544177559,26.5832147224169,26.2096041820115,25.28647,2.493765,85,85,1.228258,0.1215329
0.11,S,0.11,0.02276311,0,0.7610119,0,1213.88,126.5143,0.111106,0,116.8561,140.0737,3.726728,276.637680082865,275.32643411805,26.9028012940742,28.9403937406928,28.03973,2.762793,85,85,1.494889,0.1478157
0.12,S,0.12,0.02513484,0,0.7486469,0,1227.246,126.4619,0.1332624,0,116.8431,140.0737,3.728827,280.160346333222,278.835873608366,27.2098373131875,31.7121996512112,30.82809,3.034891,85,85,1.789228,0.1768042
0.13,S,0.13,0.02754219,0,0.737536,0,1240.034,126.4088,0.1576355,0,116.83,140.0737,3.730926,283.53974623155,282.202580496387,27.5043860907995,34.5222985384041,33.65012,3.309935,85,85,2.111619,0.2085283
0.14,S,0.14,0.0299828,0,0.7274716,0,1252.245,126.3553,0.1842593,0,116.8169,140.0737,3.733026,286.77603053981,285.426705663718,27.7864604821762,37.3683210151628,36.50439,3.5878,85,85,2.462392,0.243017
0.15,S,0.15,0.03245462,0,0.7182915,0,1263.883,126.3011,0.2131656,0,116.8038,140.0737,3.735125,289.869789718578,288.508837942365,28.056112001462,40.2481486075469,39.38948,3.868361,85,85,2.841861,0.2802978
0.16,S,0.16,0.03495582,0,0.7098676,0,1274.95,126.2465,0.2443845,0,116.7907,140.0737,3.737224,292.821533091344,291.449485241935,28.3133854241459,43.159831423824,42.30397,4.151495,85,85,3.250329,0.320397
0.17,S,0.17,0.03748469,0,0.702097,0,1285.449,126.1913,0.2779431,0,116.7777,140.0737,3.739323,295.631613208721,294.248999303402,28.5583111779621,46.1015592540493,45.24646,4.437078,85,85,3.688081,0.3633399
0.18,S,0.18,0.04003965,0,0.6948956,0,1295.382,126.1357,0.3138662,0,116.7646,140.0737,3.741422,298.300630617627,296.907978852558,28.7909416407801,49.0716002855833,48.21554,4.724988,85,85,4.155391,0.4091502
0.19,S,0.19,0.04261924,0,0.6881943,0,1304.754,126.0796,0.3521756,0,116.7515,140.0737,3.743522,300.829178423229,299.427015142732,29.0113287098171,52.0682974359641,51.20981,5.015101,85,85,4.652517,0.4578507
0.2,S,0.2,0.04522197,0,0.6819357,0,1313.567,126.0231,0.3928904,0,116.7384,140.0737,3.745621,303.217933687738,301.806783046871,29.2195314260962,55.0900434970526,54.22787,5.307296,85,85,5.179706,0.5094627
0.21,S,0.21,0.04784648,0,0.6760713,0,1321.825,125.9662,0.4360268,0,116.7254,140.0737,3.74772,305.467581432564,304.047965332452,29.4156095203915,58.1352987062735,57.26835,5.601452,85,85,5.737187,0.5640064
0.22,S,0.22,0.05049141,0,0.6705602,0,1329.533,125.9089,0.4815983,0,116.7123,140.0737,3.74982,307.578868081231,306.151305922604,29.5996279033322,61.2025329589814,60.32986,5.897448,85,85,6.325178,0.6215009
0.23,S,0.23,0.05315546,0,0.6653671,0,1336.694,125.8513,0.5296146,0,116.6992,140.0737,3.751919,309.552875246608,308.117882589592,29.7716812079569,64.2902691735524,63.41104,6.195165,85,85,6.943882,0.681964
0.24,S,0.24,0.05583732,0,0.6604621,0,1343.314,125.7933,0.580083,0,116.6861,140.0737,3.754018,311.390402067427,309.948491749971,29.9318385942434,67.3970485337001,66.51053,6.494483,85,85,7.59349,0.7454122
0.25,S,0.25,0.05853575,0,0.6558189,0,1349.398,125.7351,0.6330076,0,116.673,140.0737,3.756117,313.09271356237,311.64439382304,30.0802108456422,70.5214276282824,69.62697,6.795285,85,85,8.274178,0.811861
0.26,S,0.26,0.06124948,0,0.6514146,0,1354.951,125.6766,0.6883898,0,116.66,140.0737,3.758216,314.660894759301,313.206669957482,30.2168923760962,73.6620044058753,72.75903,7.097454,85,85,8.986108,0.8813247
0.27,S,0.27,0.06397728,0,0.6472293,0,1359.978,125.6178,0.7462267,0,116.6469,140.0737,3.760316,316.095707636155,314.636079447493,30.3419494415358,76.817406769993,75.9054,7.400874,85,85,9.72943,0.9538164
0.28,S,0.28,0.06671799,0,0.6432455,0,1364.474,125.5588,0.806514,0,116.6338,140.0737,3.762415,317.395782597487,315.931257990514,30.4552628490105,79.9862109788678,79.06471,7.705427,85,85,10.50428,1.029348
0.29,S,0.29,0.06947036,0,0.6394475,0,1368.398,125.4995,0.8692427,0,116.6207,140.0737,3.764514,318.550641560124,317.081767106246,30.5559193471041,83.1669393422569,82.23553,8.010986,85,85,11.31078,1.10793
0.3,S,0.3,0.0722331,0,0.6358216,0,1371.538,125.4401,0.9343987,0,116.6077,140.0737,3.766613,319.505296432268,318.032825966169,30.6391262317254,86.3575489227015,85.41586,8.317377,85,85,12.14904,1.189572
0.31,S,0.31,0.07500446,0,0.632356,0,1373.121,125.3806,1.001953,0,116.5946,140.0737,3.768713,320.061258071556,318.586693294932,30.6875833807139,89.5540271702798,88.60173,8.624253,85,85,13.01913,1.27428
0.32,S,0.32,0.07778092,0,0.6290424,0,1373.689,125.3209,1.071825,0,116.5815,140.0737,3.770812,320.356595490688,318.880918143382,30.7133247698507,92.7537372606802,91.79054,8.931387,85,85,13.92109,1.362058
0.33,S,0.33,0.08056022,0,0.6258716,0,1374.387,125.2612,1.143958,0,116.5684,140.0737,3.772911,320.685332509484,319.208416763413,30.741977069039,95.9569920840806,94.98263,9.238807,85,85,14.85495,1.452909
0.3399999,S,0.3399999,0.08334263,0,0.6228324,0,1374.894,125.2015,1.218357,0,116.5553,140.0737,3.77501,320.964972626428,319.48700340119,30.7663503004759,99.1632666071486,98.1775,9.546471,85,85,15.82075,1.546835
0.3499999,S,0.3499999,0.08612769,0,0.6199158,0,1375.297,125.1417,1.295006,0,116.5423,140.0737,3.77711,321.217335497666,319.738415537124,30.7883460749234,102.372288562928,101.3749,9.854354,85,85,16.81852,1.64384
0.3599999,S,0.3599999,0.08891516,0,0.6171132,0,1375.515,125.0819,1.373898,0,116.5292,140.0737,3.779209,321.42200666775,319.942315646587,30.8061849150963,105.583509276779,104.5743,10.16242,85,85,17.84826,1.743923
0.3699999,S,0.3699999,0.09170455,2.856479,0.6144174,0,1375.556,125.0221,1.455014,0,116.5161,140.0737,3.781308,321.580887393452,320.1006,30.82001,108.796509028623,107.7753,10.47062,85,84.451,18.92601,1.847089
0.3799999,S,0.3799999,0.09449553,2.785192,0.6645419,1.010781,1375.431,124.9623,1.670898,2.693832,116.503,136.5341,3.215261,321.663264229691,320.2451,30.1717,112.01027780902,110.9778,10.77234,84.99975,84.45581,20.03579,1.953303
0.3899999,S,0.3899999,0.09728722,2.717233,0.6593541,0.9839861,1375.143,124.9025,1.757187,2.775012,116.49,136.6163,3.230557,321.736487558639,320.3199,30.1584,115.224884111247,114.181,11.07392,84.99898,84.46046,21.1776,2.062535
0.3999999,S,0.3999999,0.1000797,2.652306,0.654449,0.9585165,1374.515,124.8427,1.845598,2.856022,116.4769,136.695,3.245279,321.721179792068,320.3062,30.1406,118.439518408747,117.3841,11.37533,84.99767,84.46493,22.35144,2.174781
0.4099999,S,0.4099999,0.1028722,2.590146,0.6498014,0.9342508,1373.601,124.7829,1.936099,2.936739,116.4638,136.7704,3.25948,321.6317076729,320.2183,30.11969,121.653371164172,120.5863,11.67653,84.9958,84.46922,23.55731,2.29004
0.4199999,S,0.4199999,0.105664,2.530501,0.6453886,0.9110813,1372.519,124.7232,2.028652,3.017059,116.4507,136.8428,3.273201,321.498194571914,320.0862,30.0984,124.866034169525,123.7872,11.97751,84.99337,84.47333,24.79518,2.40831
0.4299999,S,0.4299999,0.1084549,2.473152,0.6411902,0.8889063,1371.236,124.6635,2.123233,3.096847,116.4376,136.9125,3.286489,321.312018031349,319.9013,30.07609,128.076902801361,126.9862,12.27827,84.99035,84.47725,26.06504,2.529589
0.4399998,S,0.4399998,0.1112442,2.417892,0.6371884,0.8676372,1369.72,124.6039,2.219807,3.175976,116.4246,136.9797,3.299374,321.064960518827,319.6554,30.05219,131.285470160437,130.1828,12.57879,84.98673,84.48099,27.36687,2.653875
0.4499998,S,0.4499998,0.1140316,2.364543,0.6333672,0.8471913,1368.024,124.5443,2.318345,3.254302,116.4115,137.0446,3.3119,320.770383424219,319.3618,30.02798,134.491133189892,133.3764,12.87907,84.9825,84.48451,28.70063,2.781164
0.4599998,S,0.4599998,0.1168164,2.312925,0.6297125,0.827498,1366.314,124.4848,2.418809,3.331718,116.3984,137.1075,3.32409,320.471358896542,319.0634,30.00731,137.69388808303,136.567,13.17914,84.97764,84.48785,30.0663,2.911455
0.4699998,S,0.4699998,0.1195988,2.262867,0.626211,0.8084859,1364.712,124.4253,2.521182,3.408096,116.3853,137.1685,3.335979,320.199218865791,318.7914,29.99305,140.894034535373,139.7549,13.47907,84.97212,84.49098,31.46385,3.044746
0.4799998,S,0.4799998,0.1223789,2.214219,0.6228502,0.7900879,1363.201,124.366,2.625458,3.483293,116.3722,137.2278,3.347598,319.949560618798,318.5414,29.98496,144.091772362069,142.9403,13.77892,84.96595,84.4939,32.89325,3.181036
0.4899998,S,0.4899998,0.1251571,2.166845,0.6196194,0.7722455,1361.717,124.3067,2.731626,3.557159,116.3592,137.2856,3.358973,319.706234722366,318.2973,29.98175,147.287201068648,146.1233,14.07874,84.9591,84.49664,34.35448,3.320324
0.4999998,S,0.4999998,0.1279332,2.120618,0.6165089,0.7549056,1360.335,124.2475,2.839673,3.629545,116.3461,137.342,3.370125,319.488227486473,318.078,29.98522,150.480521212367,149.3041,14.37859,84.95155,84.49915,35.84752,3.46261
0.5099998,S,0.5099998,0.1307075,2.075423,0.61351,0.7380194,1359.119,124.1883,2.949593,3.700309,116.333,137.3971,3.381078,319.31261407826,317.9005,29.99696,153.672136075745,152.4831,14.67856,84.94331,84.50145,37.37235,3.607896
0.5199998,S,0.5199998,0.1334804,2.031149,0.6106148,0.7215422,1358.044,124.1292,3.061384,3.769293,116.3199,137.4512,3.391855,319.172585347758,317.758,30.01654,156.862447603206,155.6607,14.97873,84.93435,84.50354,38.92896,3.756183
0.5299998,S,0.5299998,0.1362522,1.987698,0.6078159,0.7054315,1357.067,124.0701,3.175048,3.836326,116.3069,137.5043,3.402475,319.05711153134,317.6395,30.04311,160.051657339319,158.8371,15.27916,84.92466,84.5054,40.51733,3.907472
0.5399998,S,0.5399998,0.1390232,1.94498,0.6051066,0.6896499,1356.17,124.0111,3.290576,3.901229,116.2938,137.5565,3.412953,318.961890824021,317.5407,30.07643,163.239968493689,162.0125,15.57992,84.91422,84.50705,42.13745,4.061768
0.5499998,S,0.5499998,0.1417933,1.902921,0.6024817,0.6741629,1355.364,123.9521,3.40797,3.963824,116.2807,137.6079,3.423309,318.889647104997,317.4643,30.11686,166.427585420106,165.1871,15.88109,84.90304,84.50846,43.78933,4.219073
0.5599998,S,0.5599998,0.1445629,1.861434,0.5999357,0.6589422,1354.682,123.8932,3.527224,4.023955,116.2676,137.6587,3.433557,318.848926778205,317.4188,30.16527,169.614909900238,168.3613,16.18274,84.89108,84.50964,45.47294,4.379392
0.5699998,S,0.5699998,0.1473323,1.82045,0.5974637,0.6439556,1354.156,123.8343,3.648341,4.081413,116.2545,137.7088,3.443709,318.848080265828,317.4125,30.22256,172.802247677697,171.5354,16.48496,84.87835,84.5106,47.18829,4.542731
0.5799997,S,0.5799997,0.1501018,1.779911,0.5950614,0.6291772,1353.798,123.7754,3.771328,4.136025,116.2415,137.7585,3.45378,318.890338622907,317.4486,30.28918,175.990103412064,174.7099,16.78785,84.86484,84.51131,48.93539,4.709095
0.5899997,S,0.5899997,0.1528717,1.739746,0.5927248,0.6145848,1353.609,123.7166,3.896198,4.187616,116.2284,137.8077,3.463781,318.976012164564,317.5274,30.36522,179.178882425955,177.8852,17.0915,84.85053,84.51177,50.71424,4.878492
0.5999997,S,0.5999997,0.1556425,1.699909,0.5904502,0.600152,1353.592,123.6577,4.022957,4.235959,116.2153,137.8566,3.473727,319.106229806,317.65,30.451,182.368990863692,181.0617,17.39601,84.83543,84.51199,52.52486,5.05093
0.6099997,S,0.6099997,0.1584145,1.660349,0.5882343,0.5858619,1353.75,123.5989,4.151618,4.280884,116.2022,137.9052,3.483623,319.281506452794,317.8169,30.54666,185.560934502472,184.2399,17.70148,84.81951,84.51196,54.36726,5.226417
0.6199997,S,0.6199997,0.1611882,1.621012,0.5860742,0.5716956,1354.047,123.54,4.282202,4.322185,116.1891,137.9535,3.493481,319.492822522072,318.0191,30.65152,188.755018847311,187.4201,18.008,84.80277,84.51167,56.24146,5.404964
0.6299997,S,0.6299997,0.1639637,1.581866,0.5839672,0.5576335,1354.435,123.4812,4.414716,4.359622,116.1761,138.0017,3.503313,319.727448173694,318.2439,30.76461,191.951450208684,190.6025,18.31565,84.78522,84.51111,58.14749,5.586583
0.6399997,S,0.6399997,0.1667414,1.542867,0.581911,0.543664,1354.882,123.4223,4.54917,4.393012,116.163,138.0497,3.51312,319.977363104905,318.4833,30.88528,195.150432500782,193.7873,18.6245,84.76684,84.51028,60.08536,5.771284
0.6499997,S,0.6499997,0.1695213,1.503989,0.5799034,0.5297707,1355.375,123.3634,4.685572,4.422107,116.1499,138.0977,3.522914,320.239070883607,318.7338,31.01334,198.352072456034,196.9746,18.93463,84.74763,84.50919,62.05511,5.959079
0.6599997,S,0.6599997,0.1723036,1.465197,0.5779427,0.5159441,1355.898,123.3045,4.823927,4.446708,116.1368,138.1456,3.532699,320.508268705333,318.9911,31.14849,201.556475748145,200.1645,19.24611,84.72759,84.50781,64.05676,6.149983
0.6699997,S,0.6699997,0.1750883,1.426477,0.5760272,0.5021722,1356.446,123.2456,4.964245,4.46658,116.1238,138.1934,3.542484,320.783967806331,319.2542,31.29073,204.763649031828,203.357,19.55902,84.70673,84.50616,66.09032,6.344008
0.6799996,S,0.6799996,0.1778755,1.387797,0.5741554,0.4884497,1357.006,123.1867,5.106528,4.481539,116.1107,138.2413,3.552269,321.062766000871,319.5197,31.4398,207.973697440364,206.5522,19.87342,84.68503,84.5042,68.15585,6.541171
0.6899996,S,0.6899996,0.1806652,1.349134,0.572326,0.4747646,1357.56,123.1277,5.250784,4.491325,116.0976,138.2892,3.562062,321.339559992177,319.7825,31.59534,211.186525987336,209.75,20.18937,84.6625,84.50197,70.25335,6.741485
0.6999996,S,0.6999996,0.1834574,1.310478,0.5705377,0.4611095,1358.104,123.0687,5.397014,4.495718,116.0845,138.3372,3.571864,321.613963627906,320.0422,31.75739,214.402141729677,212.9504,20.50694,84.63914,84.49943,72.38285,6.944966
0.7099996,S,0.7099996,0.1862521,1.27181,0.5687897,0.4474811,1358.656,123.0097,5.545228,4.494526,116.0714,138.3853,3.581683,321.890205305861,320.303,31.92636,217.620550447417,216.1534,20.8262,84.61495,84.49658,74.54439,7.151632
0.7199996,S,0.7199996,0.1890493,1.233112,0.5670807,0.4338719,1359.237,122.9506,5.695425,4.487514,116.0584,138.4335,3.591519,322.173625273778,320.5702,32.10283,220.841859296852,219.3591,21.14723,84.58994,84.49344,76.73798,7.361499
0.7299996,S,0.7299996,0.1918491,1.194383,0.56541,0.4202765,1359.837,122.8916,5.847626,4.47446,116.0453,138.4819,3.601375,322.462232864765,320.8418,32.2867,224.0660748384,222.5675,21.4701,84.56412,84.48998,78.96365,7.574585
0.7399996,S,0.7399996,0.1946514,1.155614,0.5637769,0.4066942,1360.44,122.8325,6.001836,4.455183,116.0322,138.5303,3.611253,322.751413971326,321.1132,32.4775,227.293203469864,225.7786,21.79488,84.53748,84.48621,81.22144,7.79091
0.7499996,S,0.7499996,0.1974564,1.116795,0.5621805,0.3931222,1361.044,122.7733,6.158062,4.429477,116.0191,138.5789,3.621156,323.040580894241,321.3838,32.67522,230.523250770874,228.9924,22.12163,84.51006,84.48211,83.51137,8.010492
0.7599996,S,0.7599996,0.2002639,1.077928,0.5606204,0.3795568,1361.683,122.7142,6.316323,4.397131,116.0061,138.6277,3.631085,323.338888705747,321.6627,32.88076,233.756325011611,232.209,22.45044,84.48183,84.47769,85.83346,8.233353
0.7699996,S,0.7699996,0.2030741,1.03901,0.559096,0.3659992,1362.379,122.655,6.476631,4.357986,115.993,138.6766,3.641037,323.65207280347,321.9556,33.09465,236.992632762722,235.4286,22.78139,84.45285,84.47295,88.18774,8.459512
0.7799996,S,0.7799996,0.2058872,1.000037,0.5576066,0.3524487,1363.111,122.5958,6.639009,4.311853,115.9799,138.7257,3.651018,323.974619210594,322.257,33.31636,240.23218088865,238.6512,23.11455,84.4231,84.46788,90.57426,8.688992
0.7899995,S,0.7899995,0.2087032,0.9610199,0.5561519,0.3389038,1363.85,122.5366,6.803473,4.258533,115.9668,138.775,3.661023,324.298807592431,322.5592,33.54518,243.474977406328,241.8768,23.45,84.3926,84.46247,92.99303,8.921814
0.7999995,S,0.7999995,0.2115221,0.9219669,0.5547314,0.3253681,1364.572,122.4773,6.97004,4.197891,115.9537,138.8244,3.671055,324.61851265477,322.8561,33.78043,246.72102886511,245.1054,23.78781,84.36138,84.45673,95.44408,9.158003
0.8099995,S,0.8099995,0.2143438,0.8828827,0.553345,0.3118453,1365.26,122.418,7.138722,4.129787,115.9407,138.874,3.68111,324.929319948684,323.1433,34.02162,249.970141882225,248.3368,24.12803,84.32945,84.45065,97.92745,9.397582
0.8199995,S,0.8199995,0.2171684,0.8437725,0.5519922,0.2983367,1365.933,122.3587,7.309527,4.054069,115.9276,138.9237,3.691186,325.235856934805,323.4254,34.26913,253.222421181659,251.5711,24.47072,84.29683,84.44422,100.4432,9.640575
0.8299995,S,0.8299995,0.2199957,0.8046595,0.5506727,0.2848444,1366.589,122.2993,7.482477,3.970584,115.9145,138.9735,3.701285,325.538229906504,323.7025,34.5229,256.477675475379,254.8081,24.81595,84.26354,84.43746,102.9912,9.887009
0.8399995,S,0.8399995,0.2228256,0.7655508,0.5493863,0.2713765,1367.212,122.2399,7.657583,3.879278,115.9014,139.0235,3.7114,325.831311013234,323.9695,34.78227,259.73590962995,258.0478,25.16377,84.22962,84.43036,105.5717,10.13691
0.8499995,S,0.8499995,0.2256583,0.7264664,0.5481327,0.2579352,1367.831,122.1805,7.834861,3.780019,115.8884,139.0735,3.721531,326.123447467504,324.2347,35.048,262.997031409242,261.2901,25.51425,84.19508,84.4229,108.1846,10.3903
0.8599995,S,0.8599995,0.2284935,0.6874288,0.5469118,0.2445278,1368.453,122.1211,8.014321,3.672752,115.8753,139.1236,3.731673,326.416542877364,324.5,35.3201,266.261146700055,264.5351,25.86745,84.15996,84.41512,110.83,10.64721
0.8699995,S,0.8699995,0.2313313,0.6484494,0.5457232,0.2311619,1369.099,122.0616,8.195994,3.557448,115.8622,139.1737,3.741821,326.715519783276,324.7703,35.59892,269.528262549562,267.7828,26.22344,84.12428,84.40697,113.5078,10.90766
0.8799995,S,0.8799995,0.2341719,0.6095517,0.5445665,0.2178412,1369.809,122.0021,8.379898,3.434025,115.8491,139.2239,3.751973,327.031237251246,325.0564,35.88547,272.79858543703,271.0334,26.58229,84.08807,84.39848,116.2181,11.17169
0.8899994,S,0.8899994,0.2370153,0.5707687,0.5434415,0.2045736,1370.639,121.9426,8.566063,3.302476,115.836,139.2741,3.762125,327.378668704444,325.3732,36.18112,276.072324737355,274.2871,26.9441,84.05138,84.38965,118.961,11.43932
0.8999994,S,0.8999994,0.2398618,0.5321158,0.5423477,0.1913706,1371.618,121.883,8.754522,3.16287,115.823,139.3242,3.77227,327.765344886921,325.7282,36.48645,279.349987530939,277.5444,27.30896,84.01423,84.38048,121.7364,11.71059
0.9099994,S,0.9099994,0.2427118,0.4936254,0.5412849,0.1782369,1372.772,121.8234,8.945327,3.015181,115.8099,139.3743,3.782403,328.198108062329,326.1282,36.80211,282.631983142123,280.8057,27.67698,83.97666,84.37095,124.5445,11.98552
0.9199994,S,0.9199994,0.2455656,0.4553301,0.5402523,0.1651834,1374.06,121.7638,9.138523,2.859487,115.7968,139.4242,3.792519,328.666592707958,326.5629,37.12683,285.918620106511,284.0713,28.04825,83.93872,84.36108,127.3852,12.26414
0.9299994,S,0.9299994,0.2484235,0.4172589,0.5392497,0.1522209,1375.288,121.7041,9.334151,2.695879,115.7837,139.474,3.80261,329.119198606529,326.981,37.45494,289.209802049238,287.3411,28.4228,83.90044,84.35088,130.2586,12.5465
0.9399994,S,0.9399994,0.2512854,0.3794457,0.5383158,0.1393584,1376.547,121.6443,9.532924,2.524435,115.7706,139.5236,3.812671,329.579542271194,327.406,37.7887,292.505535927584,290.6151,28.80069,83.86188,84.34032,133.1648,12.83261
0.9499994,S,0.9499994,0.2541514,0.3419243,0.5374591,0.126607,1377.823,121.5845,9.735067,2.345294,115.7576,139.5729,3.822692,330.044679446665,327.835,38.12746,295.806025106331,293.8935,29.18196,83.82306,84.32944,136.1037,13.12253
0.9599994,S,0.9599994,0.2570216,0.3047377,0.5366306,0.113978,1379.066,121.5247,9.939787,2.158607,115.7445,139.622,3.832668,330.500913084382,328.2544,38.4695,299.110976479658,297.176,29.56665,83.78404,84.31822,139.0755,13.41627
0.9699994,S,0.9699994,0.2598957,0.2679231,0.53583,0.1014854,1380.316,121.4648,10.14707,1.964605,115.7314,139.6707,3.84259,330.959067105624,328.675,38.81557,302.420494870772,300.4627,29.95481,83.74488,84.30668,142.0801,13.71388
0.9799994,S,0.9799994,0.2627739,0.2315155,0.5350565,0.08914096,1381.658,121.4048,10.35696,1.763509,115.7183,139.7191,3.852448,331.441845270865,329.1194,39.16781,305.734884970403,303.7539,30.34649,83.70561,84.29481,145.1176,14.01538
0.9899994,S,0.9899994,0.2656564,0.1955586,0.5343096,0.07695572,1383.12,121.3448,10.56949,1.555543,115.7053,139.767,3.862233,331.956359631673,329.5947,39.52668,309.054452629116,307.0499,30.74176,83.6663,84.28262,148.1881,14.32083
0.9999993,S,0.9999993,0.2685435,0.1600894,0.5335885,0.06494351,1384.683,121.2847,10.78469,1.34101,115.6922,139.8144,3.87194,332.497847610751,330.0962,39.89132,312.379403120649,310.3509,31.14067,83.62698,84.27011,151.2916,14.63024
1.009999,S,1.009999,0.2714354,0.1251597,0.5328923,0.05311589,1386.338,121.2245,11.00261,1.120192,115.6791,139.8612,3.881556,333.063559801837,330.6212,40.26111,315.709942227762,313.6571,31.54328,83.58773,84.25729,154.4282,14.94366
1.019999,S,1.019999,0.2743322,0.09081089,0.5322203,0.04148917,1388.109,121.1643,11.22325,0.8934979,115.666,139.9074,3.891071,333.66068763508,331.1769,40.63638,319.04647407111,316.9689,31.94964,83.54859,84.24417,157.5979,15.26112
1.029999,S,1.029999,0.2772343,0.05708649,0.5315714,0.0300762,1390.042,121.104,11.44668,0.6612939,115.6529,139.9529,3.900476,334.300863230857,331.7749,41.01808,322.389404575682,320.2867,32.35982,83.50963,84.23076,160.8008,15.58267
1.039999,S,1.039999,0.2801421,0.02403148,0.5309449,0.01889033,1392.163,121.0436,11.67292,0.4239825,115.6399,139.9977,3.909762,334.991187008524,332.4223,41.40664,325.739139734166,323.6109,32.77389,83.47089,84.21705,164.0369,15.90834
1.049999,S,1.049999,0.2830558,-0.008302132,0.5303397,0.007945386,1394.505,120.9832,11.90202,0.1820069,115.6268,140.0416,3.918917,335.740770587426,333.1282,41.80272,329.096383859617,326.9422,33.19192,83.43244,84.20306,167.3063,16.23817
1.059999,S,1.059999,0.2859762,-0.03987092,0.5297546,-0.002743809,1397.05,120.9226,12.13404,-0.06413892,115.6137,140.0626,3.924379,336.54452171093,333.8876,42.20528,332.461642408775,330.2811,33.61398,83.39434,84.1888,170.6091,16.5722
1.069999,S,1.069999,0.2889037,-0.07062799,0.5291886,-0.0131887,1399.684,120.8619,12.36902,-0.3145546,115.6006,140.0206,3.919734,337.372311094667,334.6706,42.61063,335.835116753604,333.6278,34.04008,83.35665,84.17427,173.9454,16.91047
1.079999,S,1.079999,0.2918383,-0.1005233,0.5286405,-0.02338265,1402.258,120.8012,12.60699,-0.5689144,115.5876,139.9797,3.915274,338.184918701373,335.4383,43.01379,339.216707664307,336.9822,34.47022,83.31944,84.15948,177.3152,17.25302
1.089999,S,1.089999,0.2947802,-0.1295168,0.5281094,-0.03330765,1404.68,120.7403,12.84794,-0.8265879,115.5745,139.94,3.911005,338.957193627054,336.1658,43.41122,342.606011812874,340.3439,34.90433,83.28275,84.14444,180.7187,17.59989
1.099999,S,1.099999,0.2977288,-0.1575539,0.5275943,-0.04294901,1406.892,120.6793,13.09186,-1.086982,115.5614,139.9016,3.906939,339.673952183432,336.8381,43.80055,346.002425039427,343.7123,35.34234,83.24664,84.12917,184.1558,17.95112
1.109999,S,1.109999,0.3006837,-0.1845952,0.5270939,-0.05228702,1408.831,120.6181,13.33869,-1.349334,115.5483,139.8645,3.903087,340.31827322436,337.4385,44.17902,349.40524037226,347.0867,35.78413,83.2112,84.11369,187.6266,18.30676
1.119999,S,1.119999,0.3036443,-0.2105888,0.5266075,-0.06130714,1410.509,120.5569,13.58838,-1.612961,115.5352,139.8288,3.899452,340.893078649175,337.97,44.54627,352.813750420623,350.4664,36.22959,83.17647,84.09799,191.1313,18.66683
